Chr	BIN_START	BIN_END	y
Chr1	23900001	23950000	0.805054
Chr1	26550001	26600000	0.806589
Chr1	27650001	27700000	0.816943
Chr1	30300001	30350000	0.87931
Chr1	31200001	31250000	0.857143
Chr1	31850001	31900000	0.908257
Chr1	32050001	32100000	0.82116
Chr1	35000001	35050000	0.855716
Chr1	35750001	35800000	0.8625
Chr1	35800001	35850000	0.813426
Chr1	35850001	35900000	0.855234
Chr1	42300001	42350000	0.847783
Chr1	42350001	42400000	0.818898
Chr1	42450001	42500000	0.875839
Chr1	44250001	44300000	0.912371
Chr1	44300001	44350000	0.833671
Chr1	49050001	49100000	0.869452
Chr1	49300001	49350000	0.901528
Chr1	49350001	49400000	0.810919
Chr1	50050001	50100000	0.837088
Chr1	50600001	50650000	0.85447
Chr1	52200001	52250000	0.824829
Chr1	52800001	52850000	0.840617
Chr1	52900001	52950000	0.824666
Chr1	52950001	53000000	0.917686
Chr1	53000001	53050000	0.846154
Chr1	53150001	53200000	0.861386
Chr1	53200001	53250000	0.884498
Chr1	53400001	53450000	0.809045
Chr1	54200001	54250000	0.864277
Chr1	54950001	55000000	0.841584
Chr1	55000001	55050000	0.817575
Chr1	55550001	55600000	0.825328
Chr1	55800001	55850000	0.828306
Chr1	55850001	55900000	0.855908
Chr1	55900001	55950000	0.980198
Chr1	56050001	56100000	0.847534
Chr1	57400001	57450000	0.858012
Chr1	57550001	57600000	0.808281
Chr1	57800001	57850000	0.837838
Chr1	59950001	60000000	0.832682
Chr1	66750001	66800000	0.800797
Chr1	66800001	66850000	0.812844
Chr1	71350001	71400000	0.875252
Chr1	71400001	71450000	0.83662
Chr1	77700001	77750000	0.811688
Chr1	89950001	90000000	0.894447
Chr1	92100001	92150000	0.814925
Chr1	92150001	92200000	0.882353
Chr1	92200001	92250000	0.846827
Chr1	92250001	92300000	0.858209
Chr1	93400001	93450000	0.88417
Chr1	96050001	96100000	0.835808
Chr1	117250001	117300000	0.83908
Chr1	117450001	117500000	0.846154
Chr1	117500001	117550000	0.807381
Chr1	126650001	126700000	0.803774
Chr1	129250001	129300000	0.808696
Chr1	129800001	129850000	0.839637
Chr1	133200001	133250000	0.815062
Chr1	133250001	133300000	0.85313
Chr1	134400001	134450000	0.873935
Chr1	134550001	134600000	0.84
Chr1	134600001	134650000	0.851351
Chr1	145800001	145850000	0.802469
Chr1	158900001	158950000	0.830904
Chr1	159650001	159700000	0.817061
Chr1	165850001	165900000	0.818182
Chr1	177950001	178000000	0.819328
Chr1	181100001	181150000	0.816643
Chr1	184800001	184850000	0.8
Chr1	197650001	197700000	0.857143
Chr1	202900001	202950000	0.810575
Chr1	204600001	204650000	0.803596
Chr1	204650001	204700000	0.917355
Chr1	204750001	204800000	0.860045
Chr1	204850001	204900000	0.81457
Chr1	211250001	211300000	0.810636
Chr1	222350001	222400000	0.846033
Chr2	100001	150000	0.906237
Chr2	21150001	21200000	Chr1
Chr2	28450001	28500000	0.840237
Chr2	30150001	30200000	0.832936
Chr2	31100001	31150000	0.918844
Chr2	31150001	31200000	0.816216
Chr2	31200001	31250000	0.837978
Chr2	44650001	44700000	0.944615
Chr2	49800001	49850000	0.834586
Chr2	54950001	55000000	0.888
Chr2	61900001	61950000	0.818796
Chr2	67150001	67200000	0.838137
Chr2	73650001	73700000	0.834232
Chr2	81100001	81150000	0.854671
Chr2	85550001	85600000	0.837254
Chr2	86950001	87000000	0.858191
Chr2	87600001	87650000	0.869159
Chr2	87650001	87700000	0.867925
Chr2	87700001	87750000	0.923077
Chr2	87750001	87800000	0.908046
Chr2	87800001	87850000	0.871921
Chr2	87900001	87950000	0.811513
Chr2	88050001	88100000	0.858548
Chr2	88100001	88150000	0.807143
Chr2	88150001	88200000	0.882353
Chr2	88350001	88400000	0.8159
Chr2	88450001	88500000	0.921478
Chr2	88500001	88550000	0.887324
Chr2	88550001	88600000	0.924686
Chr2	88600001	88650000	0.84109
Chr2	88650001	88700000	0.832192
Chr2	88700001	88750000	0.804677
Chr2	88800001	88850000	0.84
Chr2	100650001	100700000	0.853605
Chr2	103750001	103800000	0.893743
Chr2	103800001	103850000	0.833514
Chr2	105600001	105650000	0.840304
Chr2	106400001	106450000	0.800981
Chr2	126750001	126800000	0.924577
Chr2	126800001	126850000	0.943121
Chr2	126850001	126900000	0.931034
Chr2	133150001	133200000	0.807339
Chr2	133200001	133250000	0.908108
Chr2	139800001	139850000	0.8195
Chr2	151650001	151700000	0.900262
Chr3	41850001	41900000	0.813418
Chr3	44800001	44850000	0.808238
Chr3	48100001	48150000	0.855513
Chr3	48150001	48200000	0.863113
Chr3	76900001	76950000	0.812332
Chr3	85700001	85750000	0.820823
Chr3	96400001	96450000	0.85906
Chr3	99800001	99850000	0.808327
Chr3	103250001	103300000	0.938028
Chr3	103350001	103400000	0.8125
Chr3	116200001	116250000	0.822222
Chr3	116250001	116300000	0.80346
Chr3	123800001	123850000	0.812077
Chr3	125600001	125650000	0.832328
Chr3	125700001	125750000	0.86633
Chr3	125750001	125800000	0.930326
Chr3	125800001	125850000	0.918562
Chr3	125850001	125900000	0.882353
Chr3	130350001	130400000	0.911227
Chr3	141900001	141950000	0.852495
Chr3	141950001	142000000	0.897225
Chr3	143850001	143900000	0.891213
Chr3	143900001	143950000	0.883306
Chr3	144400001	144450000	0.808696
Chr3	146350001	146400000	0.9
Chr3	146450001	146500000	0.807627
Chr3	161700001	161750000	0.846154
Chr3	161800001	161850000	0.841676
Chr3	166750001	166800000	0.865594
Chr3	168750001	168800000	0.808463
Chr3	170350001	170400000	0.85634
Chr3	170400001	170450000	0.851279
Chr3	178650001	178700000	0.805063
Chr3	178700001	178750000	0.874408
Chr3	180050001	180100000	0.832168
Chr3	180100001	180150000	0.82669
Chr3	180150001	180200000	0.803051
Chr4	35000001	35050000	0.803051
Chr4	72600001	72650000	0.811723
Chr4	75100001	75150000	0.96897
Chr4	75150001	75200000	0.909824
Chr4	75200001	75250000	0.909574
Chr4	76850001	76900000	0.893048
Chr4	76900001	76950000	0.830877
Chr4	76950001	77000000	0.851891
Chr4	77000001	77050000	0.89011
Chr4	77050001	77100000	0.876588
Chr4	83550001	83600000	Chr1
Chr4	85150001	85200000	0.836418
Chr4	85200001	85250000	0.920973
Chr4	85250001	85300000	0.828306
Chr4	85600001	85650000	0.806075
Chr4	99700001	99750000	0.843318
Chr4	106900001	106950000	0.831933
Chr4	113050001	113100000	0.812081
Chr4	163400001	163450000	0.821839
Chr5	8800001	8850000	0.832759
Chr5	21800001	21850000	0.855932
Chr5	34800001	34850000	0.904042
Chr5	41700001	41750000	0.829503
Chr5	44950001	45000000	0.80109
Chr5	48750001	48800000	0.81365
Chr5	52900001	52950000	0.852101
Chr5	52950001	53000000	0.830334
Chr5	53050001	53100000	0.832884
Chr5	54450001	54500000	0.832418
Chr5	54900001	54950000	0.850746
Chr5	57650001	57700000	0.858861
Chr5	57700001	57750000	0.904855
Chr5	66750001	66800000	0.806452
Chr5	74950001	75000000	0.830935
Chr5	82550001	82600000	0.81295
Chr5	92800001	92850000	0.802935
Chr5	99550001	99600000	0.814516
Chr5	116200001	116250000	0.806452
Chr5	125550001	125600000	0.864678
Chr5	128350001	128400000	0.806167
Chr5	138650001	138700000	0.857143
Chr5	144200001	144250000	0.841837
Chr6	23400001	23450000	0.829787
Chr6	51750001	51800000	0.882353
Chr6	63250001	63300000	0.817132
Chr6	63400001	63450000	0.849633
Chr6	63450001	63500000	0.841918
Chr6	63750001	63800000	0.816047
Chr6	63850001	63900000	0.81039
Chr6	63900001	63950000	0.811765
Chr6	64200001	64250000	0.81745
